"","participant","sound_label","sound_start","sound_end","word","utterance","F1_20","F1_35","F1_50","F1_65","F1_80","F2_20","F2_35","F2_50","F2_65","F2_80","duration","changeF2","changeF1","trajectory","gender","changeF1norm","changeF2norm","traj_norm","child","meanF1","meanF2","FLEECEF1","FLEECEF2","TRAPF1","TRAPF2","u_F1","u_F2","s_f1","s_f2"
"105","Ali","price",1842.02938853702,1842.16992517007,"MY","my mum",602,703.21,739.11,731.41,740.42,1041.47,1165.31,1172.07,1179.55,1158.61,0.140536633044121,117.14,138.42,181.333604166464,"M",984.938923053205,833.519328467363,1290.29421182685,"teen",703.23,1143.402,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"106","Ali","price",1843.36608752103,1843.54184970121,"MY","my mum",751.22,774.8,852.16,748.82,764.71,1188.76,1205.02,1178.07,1170.22,1006.54,0.175762180176434,-182.22,13.49,182.718659419338,"M",76.7514375758109,-1036.74180541618,1039.57893123493,"teen",778.342,1149.722,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"107","Ali","face",1847.05297760771,1847.1770170383,"BASICALLY","basically my mum's mum she lives in America",475.51,444.93,435.08,433.58,444.16,1990.17,2061.44,1993.24,2106.43,2157.04,0.12403943058689,166.87,-31.35,169.789338298964,"M",-252.742211502166,1345.29801701328,1368.83358376936,"teen",446.652,2061.664,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"108","Ali","face",1852.73485101332,1852.8833385662,"AGES","and my -- and my mum's dad he passed away ages ago",427.68,449,409.2,415.51,402.92,2103.66,2177.54,2162.84,2242.08,2220.05,0.148487552873803,116.39,-24.76,118.994494410456,"M",-166.747983388501,783.836744207899,801.37689730524,"teen",420.862,2181.234,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"109","Ali","goat",1853.27789239654,1853.35686926945,"AGO","and my -- and my mum's dad he passed away ages ago",501.34,527.86,505.43,550.83,514.92,1425.82,1607.45,1400.42,1371.25,1332.18,0.0789768729048319,-93.6399999999999,13.58,94.619585710359,"M",171.94907193102,-1185.66355637855,1198.06700658276,"teen",520.076,1427.424,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"110","Ali","goat",1854.76390887428,1855.18818061919,"SO","so",549.74,553.94,493.61,544.47,440.4,1346.92,1437.84,1401.56,1403.56,1397.17,0.424271744902398,50.25,-109.34,120.334110292967,"M",-257.712188741565,118.438242951012,283.625086371588,"teen",516.432,1397.41,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"111","Ali","goat",1856.28135360612,1856.56917097893,"SO","((just)) so",487.37,473.92,430.62,402.79,378.93,1546.09,1563.91,1619.57,1707.76,1715.37,0.287817372813834,169.28,-108.44,201.034703471814,"M",-376.766693892871,588.150737202002,698.480086543793,"teen",434.726,1630.54,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"112","Ali","goat",1857.29618863049,1857.35066992014,"GOES","she goes America this summer going America with my mum and my brother",447.29,455.78,470.16,462.9,438.97,1472.16,1458.68,1467.81,1503.89,1621.93,0.0544812896509939,149.77,-8.31999999999999,150.00091766386,"M",-152.712978222391,2749.01715725571,2753.25563371871,"teen",455.02,1504.894,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"113","Ali","price",1933.55624138544,1933.66690856267,"LIKE","when you say stopped and searched do you mean like being arrested as well",725.54,806.11,807.52,831.48,791.36,1503.61,1474.74,1514.52,1500.26,1521.31,0.110667177224286,17.7,65.8200000000001,68.1583626563902,"M",594.756292252802,159.939021161875,615.885977811249,"teen",792.402,1502.888,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"114","Ali","price",1957.44347265022,1957.51206205991,"CLIMB","I would think it would be a cool thing to climb buildings and that scaffoldings",756.1,774.79,772.44,738.24,714.96,1494.96,1477.13,1492.5,1485.62,1438.62,0.0685894096930042,-56.3400000000001,-41.14,69.7617029608654,"M",-599.801050688968,-821.409606120965,1017.09146168641,"teen",751.306,1477.766,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
"115","Ali","face",1980.54684518252,1980.80748110355,"THEY","so they",464.09,397.32,454.39,393.81,352.9,2025.51,2078.09,2171.31,2182.18,2197.94,0.260635921035146,172.43,-111.19,205.171442944675,"M",-426.61042099798,661.574196354724,787.195572006394,"teen",412.502,2131.006,375.186,2127.9952,705.946,1475.8658,375.186,375.186,485.439333333333,1326.349
